order_no,booking_date,driver_id,license_plates,`status`,create_date,类型,driver_id,license_plates

"P3501517240996528","2017-08-01 00:07:00",\N,\N,"60","2017-08-01 00:07:20","其他",\N,\N
"B22501519234241172","2017-08-01 06:00:00",\N,\N,"60","2017-08-01 00:40:34","其他",\N,\N
"P27501520325326584","2017-08-01 00:58:00",\N,\N,"60","2017-08-01 00:58:45","其他",\N,\N
"P3501524742434869","2017-08-01 02:12:00",\N,\N,"60","2017-08-01 02:12:22","其他",\N,\N
"P27501528828981057","2017-08-01 03:20:00",\N,\N,"60","2017-08-01 03:20:28","其他",\N,\N
"P13501529062050864","2017-08-01 08:58:00","32937","晋AR237N","50","2017-08-01 03:24:21","抢单","32937","晋AR237N"
"P37501529506364815","2017-08-01 03:31:00",\N,\N,"60","2017-08-01 03:31:46","其他",\N,\N
"P3501531162637937","2017-08-01 03:59:00",\N,\N,"60","2017-08-01 03:59:22","其他",\N,\N
"P13501531226296300","2017-08-01 04:35:00",\N,\N,"60","2017-08-01 04:00:26","其他",\N,\N
"P35501532346213429","2017-08-01 06:19:00","39941","京BZ6040","60","2017-08-01 04:19:06","抢单","39941","京BZ6040"
"P15501536587005186","2017-08-01 08:37:00",\N,\N,"60","2017-08-01 05:29:47","其他",\N,\N
"P20501539080809946","2017-08-01 06:11:00",\N,\N,"60","2017-08-01 06:11:20","其他",\N,\N
"P13501540886395538","2017-08-01 06:41:00","36397","黑AD62X9","50","2017-08-01 06:41:26","绑单","36397","黑AD62X9"
"P33501541216925688","2017-08-01 06:46:00","26973","京BZ5950","50","2017-08-01 06:46:56","绑单","26973","京BZ5950"
"P5501542135129293","2017-08-01 07:02:00","26815","京BZ5986","50","2017-08-01 07:02:15","绑单","26815","京BZ5986"
"P43501542147693791","2017-08-01 07:02:00","7927","川A24XT8","60","2017-08-01 07:02:27","绑单","7927","川A24XT8"
"P37501542552542843","2017-08-01 07:09:00",\N,\N,"60","2017-08-01 07:09:12","其他",\N,\N
"P5501544113405432","2017-08-02 08:30:00",\N,\N,"60","2017-08-01 07:35:13","其他",\N,\N
"P22501544249786598","2017-08-01 09:30:00","23909","京BZ5771","60","2017-08-01 07:37:29","抢单","23909","京BZ5771"
"P25501544441835394","2017-08-01 07:40:00",\N,\N,"60","2017-08-01 07:40:41","其他",\N,\N
"P40501544504513896","2017-08-01 07:41:00",\N,\N,"60","2017-08-01 07:41:44","其他",\N,\N
"P15501544671512393","2017-08-01 07:44:00",\N,\N,"60","2017-08-01 07:44:31","其他",\N,\N
"P20501544891020745","2017-08-01 07:48:00",\N,\N,"60","2017-08-01 07:48:10","其他",\N,\N
"P34501544902428911","2017-08-01 07:48:00",\N,\N,"60","2017-08-01 07:48:22","其他",\N,\N
"P30501544929115552","2017-08-01 07:48:00",\N,\N,"60","2017-08-01 07:48:49","其他",\N,\N
"P35501545069943734","2017-08-01 07:51:00",\N,\N,"60","2017-08-01 07:51:09","其他",\N,\N
"P45501545279621287","2017-08-01 07:54:00",\N,\N,"10","2017-08-01 07:54:39","其他",\N,\N
"P30501545495406339","2017-08-01 07:58:00",\N,\N,"60","2017-08-01 07:58:15","其他",\N,\N
"P24501545496039529","2017-08-01 07:58:00",\N,\N,"60","2017-08-01 07:58:16","其他",\N,\N
"P15501545624112880","2017-08-01 08:00:00",\N,\N,"60","2017-08-01 08:00:24","其他",\N,\N
"P36501545689559808","2017-08-01 08:01:00",\N,\N,"60","2017-08-01 08:01:29","其他",\N,\N
"P15501545748342340","2017-08-01 08:02:00",\N,\N,"60","2017-08-01 08:02:28","其他",\N,\N
"P24501545758137802","2017-08-01 08:02:00",\N,\N,"60","2017-08-01 08:02:38","其他",\N,\N
"P36501545780929967","2017-08-01 09:10:00",\N,\N,"60","2017-08-01 08:03:00","其他",\N,\N
"P36501545825339422","2017-08-01 08:03:00",\N,\N,"60","2017-08-01 08:03:45","其他",\N,\N
"P20501545866999601","2017-08-01 08:04:00",\N,\N,"60","2017-08-01 08:04:26","其他",\N,\N
"P36501545954238343","2017-08-01 08:05:00",\N,\N,"60","2017-08-01 08:05:54","其他",\N,\N
"P26501545991921269","2017-08-01 08:06:00",\N,\N,"60","2017-08-01 08:06:31","其他",\N,\N
"P20501546025393477","2017-08-01 08:07:00",\N,\N,"60","2017-08-01 08:07:05","其他",\N,\N
"P40501546058021629","2017-08-01 09:10:00",\N,\N,"60","2017-08-01 08:07:37","其他",\N,\N
"P20501546065884540","2017-08-01 08:07:00","26611","辽BA56E6","50","2017-08-01 08:07:45","绑单","26611","辽BA56E6"
"P5501546101266708","2017-08-01 08:08:00",\N,\N,"60","2017-08-01 08:08:21","其他",\N,\N
"P17501546115518938","2017-08-01 08:08:00",\N,\N,"60","2017-08-01 08:08:35","其他",\N,\N
"P40501546117050550","2017-08-01 08:08:00",\N,\N,"60","2017-08-01 08:08:36","其他",\N,\N
"P5501546228386450","2017-08-01 08:10:00",\N,\N,"60","2017-08-01 08:10:28","其他",\N,\N
"P4501546374048812","2017-08-01 09:00:00",\N,\N,"60","2017-08-01 08:12:54","其他",\N,\N
"P24501546427613930","2017-08-01 08:13:00",\N,\N,"60","2017-08-01 08:13:47","其他",\N,\N
"P4501546523809789","2017-08-01 09:00:00",\N,\N,"60","2017-08-01 08:15:23","其他",\N,\N
"P24501546563172528","2017-08-01 08:16:00",\N,\N,"60","2017-08-01 08:16:03","其他",\N,\N
"P24501546688567102","2017-08-01 08:18:00",\N,\N,"60","2017-08-01 08:18:08","其他",\N,\N
"P22501546825369820","2017-08-01 08:20:00","23799","京BZ5787","50","2017-08-01 08:20:25","绑单","23799","京BZ5787"
"P30501546831338274","2017-08-01 08:20:00",\N,\N,"60","2017-08-01 08:20:31","其他",\N,\N
"P5501546870640865","2017-08-01 08:56:00","43713","辽B1MR55","50","2017-08-01 08:21:10","抢单","43713","辽B1MR55"
"P33501546958794057","2017-08-01 08:57:00",\N,\N,"60","2017-08-01 08:22:38","其他",\N,\N
"P36501547083413557","2017-08-01 08:57:00",\N,\N,"60","2017-08-01 08:24:43","其他",\N,\N
"P26501547093613745","2017-08-01 08:59:00",\N,\N,"60","2017-08-01 08:24:53","其他",\N,\N
"P27501547107999430","2017-08-01 08:25:00",\N,\N,"60","2017-08-01 08:25:08","其他",\N,\N
"P36501547329727264","2017-08-01 08:28:00",\N,\N,"60","2017-08-01 08:28:49","其他",\N,\N
"P43501547489498186","2017-08-01 08:31:00",\N,\N,"60","2017-08-01 08:31:29","其他",\N,\N
"P13501547650088296","2017-08-01 08:34:00",\N,\N,"60","2017-08-01 08:34:10","其他",\N,\N
"P1501548150245230","2017-08-01 09:00:00","17491","京BZ5319","50","2017-08-01 08:42:30","改派","17491","京BZ5319"
"P37501548270789043","2017-08-01 08:44:00",\N,\N,"60","2017-08-01 08:44:30","其他",\N,\N
"P30501548282467737","2017-08-01 08:44:00",\N,\N,"60","2017-08-01 08:44:42","其他",\N,\N
"P30501548350615569","2017-08-01 08:45:00",\N,\N,"60","2017-08-01 08:45:50","其他",\N,\N
"P37501548362899273","2017-08-01 08:46:00",\N,\N,"60","2017-08-01 08:46:02","其他",\N,\N
"P33501548495618115","2017-08-01 08:48:00",\N,\N,"60","2017-08-01 08:48:15","其他",\N,\N
"P37501548568213851","2017-08-01 08:49:00",\N,\N,"60","2017-08-01 08:49:28","其他",\N,\N
"P10501548752976951","2017-08-01 08:52:00",\N,\N,"60","2017-08-01 08:52:32","其他",\N,\N
"P10501548870068681","2017-08-01 08:54:00",\N,\N,"60","2017-08-01 08:54:29","其他",\N,\N
"P36501549050878800","2017-08-01 08:57:00","26611","辽BA56E6","50","2017-08-01 08:57:30","绑单","26611","辽BA56E6"
"P27501549052348344","2017-08-01 08:57:00",\N,\N,"60","2017-08-01 08:57:32","其他",\N,\N
"P3501550102783080","2017-08-01 09:15:00",\N,\N,"60","2017-08-01 09:15:02","其他",\N,\N
"P5501550187218333","2017-08-01 09:16:00",\N,\N,"60","2017-08-01 09:16:27","其他",\N,\N
"P17501550228680252","2017-08-01 09:17:00",\N,\N,"60","2017-08-01 09:17:08","其他",\N,\N
"P20501550676797725","2017-08-01 09:24:00",\N,\N,"10","2017-08-01 09:24:36","其他",\N,\N
"P27501551309756521","2017-08-01 09:35:00",\N,\N,"60","2017-08-01 09:35:09","其他",\N,\N
"P27501551443556929","2017-08-01 09:37:00",\N,\N,"60","2017-08-01 09:37:23","其他",\N,\N
"P13501551540989281","2017-08-01 09:39:00",\N,\N,"60","2017-08-01 09:39:01","其他",\N,\N
"P33501551578899086","2017-08-01 09:39:00",\N,\N,"10","2017-08-01 09:39:38","其他",\N,\N
"P33501551595708771","2017-08-01 09:39:00",\N,\N,"10","2017-08-01 09:39:55","其他",\N,\N
"P3501551769325071","2017-08-01 09:42:00",\N,\N,"10","2017-08-01 09:42:49","其他",\N,\N
"P10501551885983917","2017-08-02 07:10:00",\N,\N,"60","2017-08-01 09:44:45","其他",\N,\N
"P21501551997836182","2017-08-01 09:46:00",\N,\N,"60","2017-08-01 09:46:37","其他",\N,\N
"P13501552009485203","2017-08-01 09:46:00",\N,\N,"60","2017-08-01 09:46:49","其他",\N,\N
"P26501552019207309","2017-08-01 12:00:00",\N,\N,"60","2017-08-01 09:46:59","其他",\N,\N
"P36501552146178925","2017-08-01 12:00:00","9656","京BZ5316","50","2017-08-01 09:49:06","抢单","9656","京BZ5316"
"P36501552188822198","2017-08-01 09:49:00",\N,\N,"10","2017-08-01 09:49:48","其他",\N,\N
"P24501552263124780","2017-08-02 07:10:00",\N,\N,"60","2017-08-01 09:51:03","其他",\N,\N
"P21501552402338712","2017-08-01 09:53:00",\N,\N,"60","2017-08-01 09:53:22","其他",\N,\N
"P23501552433565615","2017-08-01 09:53:00",\N,\N,"60","2017-08-01 09:53:53","其他",\N,\N
"P40501552712071495","2017-08-01 09:58:00",\N,\N,"60","2017-08-01 09:58:31","其他",\N,\N
"P26501552719537460","2017-08-01 09:58:00",\N,\N,"60","2017-08-01 09:58:39","其他",\N,\N
"P21501552836454205","2017-08-01 10:00:00",\N,\N,"60","2017-08-01 10:00:36","其他",\N,\N
"P7501552890656928","2017-08-01 10:01:00","27645","京BZ5940","50","2017-08-01 10:01:30","绑单","27645","京BZ5940"
"P34501552998876410","2017-08-01 10:03:00",\N,\N,"60","2017-08-01 10:03:18","其他",\N,\N
"P23501553046572017","2017-08-01 10:04:00",\N,\N,"60","2017-08-01 10:04:06","其他",\N,\N
"P45501553119091037","2017-08-01 10:05:00","19457","京BZ5348","50","2017-08-01 10:05:19","绑单","19457","京BZ5348"
"P13501553223937845","2017-08-01 10:07:00",\N,\N,"60","2017-08-01 10:07:03","其他",\N,\N
"P40501553362121600","2017-08-01 10:09:00",\N,\N,"10","2017-08-01 10:09:21","其他",\N,\N
"P37501553422758260","2017-08-01 10:10:00","19523","京BZ5364","50","2017-08-01 10:10:22","绑单","19523","京BZ5364"
"P36501553486366179","2017-08-01 13:00:00","26955","京BZ5964","60","2017-08-01 10:11:26","抢单","26955","京BZ5964"
"P7501553593123279","2017-08-01 10:13:00",\N,\N,"60","2017-08-01 10:13:13","其他",\N,\N
"P45501553636820883","2017-08-01 10:13:00","26611","辽BA56E6","50","2017-08-01 10:13:56","绑单","26611","辽BA56E6"
"P24501554166177356","2017-08-01 10:22:00",\N,\N,"60","2017-08-01 10:22:46","其他",\N,\N
"P30501554198267393","2017-08-01 10:23:00",\N,\N,"60","2017-08-01 10:23:18","其他",\N,\N
"P21501554663609199","2017-08-01 10:31:00",\N,\N,"60","2017-08-01 10:31:03","其他",\N,\N
"P7501554689534061","2017-08-01 11:30:00",\N,\N,"60","2017-08-01 10:31:29","其他",\N,\N
"P37501554828025984","2017-08-01 10:33:00",\N,\N,"60","2017-08-01 10:33:48","其他",\N,\N
"P27501554953528444","2017-08-01 10:35:00",\N,\N,"60","2017-08-01 10:35:53","其他",\N,\N
"P7501555433981633","2017-08-01 10:43:00",\N,\N,"60","2017-08-01 10:43:54","其他",\N,\N
"P21501555453695322","2017-08-01 10:44:00","43713","辽B1MR55","50","2017-08-01 10:44:13","绑单","43713","辽B1MR55"
"P36501556576564589","2017-08-01 11:02:00","19481","京BZ5351","50","2017-08-01 11:02:56","绑单","19481","京BZ5351"
"P15501556811868761","2017-08-01 11:06:00",\N,\N,"60","2017-08-01 11:06:51","其他",\N,\N
"P33501557401966243","2017-08-01 13:16:00",\N,\N,"60","2017-08-01 11:16:42","其他",\N,\N
"P34501557431208256","2017-08-01 13:16:00",\N,\N,"60","2017-08-01 11:17:11","其他",\N,\N
"P26501557593155461","2017-08-01 13:30:00","7927","川A24XT8","50","2017-08-01 11:19:53","抢单","7927","川A24XT8"
"P43501557874296485","2017-08-01 11:24:00",\N,\N,"60","2017-08-01 11:24:34","其他",\N,\N
"P26501558030668272","2017-08-01 13:30:00","27661","京BZ5941","60","2017-08-01 11:27:10","抢单","27661","京BZ5941"
"P5501558322296124","2017-08-01 11:32:00","40795","辽AR99Z0","50","2017-08-01 11:32:02","绑单","40795","辽AR99Z0"
"P25501559104563473","2017-08-01 11:45:00",\N,\N,"60","2017-08-01 11:45:04","其他",\N,\N
"P27501559230769765","2017-08-01 11:47:00",\N,\N,"60","2017-08-01 11:47:10","其他",\N,\N
"P34501559392226670","2017-08-01 11:49:00",\N,\N,"60","2017-08-01 11:49:52","其他",\N,\N
"P21501559456195100","2017-08-01 12:25:00",\N,\N,"60","2017-08-01 11:50:56","其他",\N,\N
"P33501559548403196","2017-08-01 11:52:00",\N,\N,"60","2017-08-01 11:52:28","其他",\N,\N
"P24501559682520739","2017-08-01 13:30:00",\N,\N,"60","2017-08-01 11:54:42","其他",\N,\N
"P13501559896179027","2017-08-01 11:58:00","26611","辽BA56E6","50","2017-08-01 11:58:16","绑单","26611","辽BA56E6"
"P34501559993817922","2017-08-01 11:59:00","38865","京BZ6053","50","2017-08-01 11:59:53","绑单","38865","京BZ6053"
"P17501560006550464","2017-08-01 12:00:00",\N,\N,"60","2017-08-01 12:00:06","其他",\N,\N
"P30501560015593925","2017-08-01 12:00:00",\N,\N,"60","2017-08-01 12:00:15","其他",\N,\N
"P23501560061304556","2017-08-01 13:30:00",\N,\N,"60","2017-08-01 12:01:01","其他",\N,\N
"P20501560063496825","2017-08-01 12:35:00",\N,\N,"60","2017-08-01 12:01:03","其他",\N,\N
"P17501560250407877","2017-08-01 12:04:00",\N,\N,"60","2017-08-01 12:04:10","其他",\N,\N
"P7501560435476483","2017-08-01 12:07:00",\N,\N,"60","2017-08-01 12:07:15","其他",\N,\N
"P25501560446843889","2017-08-01 12:07:00",\N,\N,"60","2017-08-01 12:07:26","其他",\N,\N
"P5501560472722433","2017-08-01 15:30:00","81219","京BZ5356","50","2017-08-01 12:07:52","抢单","81219","京BZ5356"
"P26501560581176690","2017-08-01 12:09:00",\N,\N,"60","2017-08-01 12:09:41","其他",\N,\N
"P22501560778074492","2017-08-01 13:30:00",\N,\N,"60","2017-08-01 12:12:58","其他",\N,\N
"P35501561017955398","2017-08-01 14:25:00","54771","黑AH07U5","50","2017-08-01 12:16:58","抢单","54771","黑AH07U5"
"P27501561038038730","2017-08-01 12:50:00",\N,\N,"60","2017-08-01 12:17:18","其他",\N,\N
"P17501561084296383","2017-08-01 23:00:00","23897","京BZ5765","60","2017-08-01 12:18:04","抢单","23897","京BZ5765"
"P10501561434600181","2017-08-01 12:23:00",\N,\N,"60","2017-08-01 12:23:54","其他",\N,\N
"P13501562394165129","2017-08-01 12:39:00",\N,\N,"60","2017-08-01 12:39:54","其他",\N,\N
"P13501563231576997","2017-08-04 05:20:00",\N,\N,"60","2017-08-01 12:53:51","其他",\N,\N
